deviceTime_utc,deviceTime_local,deviceTime_unix,cpm,cpmError
2019-06-09 21:50:14+00:00,2019-06-09 14:50:14-07:00,1560117014,0.0,0.0
2019-06-09 17:50:14+00:00,2019-06-09 10:50:14-07:00,1560102614,0.0,0.0
2019-06-09 13:50:14+00:00,2019-06-09 06:50:14-07:00,1560088214,0.0,0.0
2019-06-09 09:55:14+00:00,2019-06-09 02:55:14-07:00,1560074114,0.0,0.0
2019-06-09 05:50:14+00:00,2019-06-08 22:50:14-07:00,1560059414,0.0,0.0
2019-06-09 01:50:14+00:00,2019-06-08 18:50:14-07:00,1560045014,0.0,0.0
2019-06-08 21:50:14+00:00,2019-06-08 14:50:14-07:00,1560030614,0.0,0.0
2019-06-08 17:50:14+00:00,2019-06-08 10:50:14-07:00,1560016214,0.0,0.0
2019-06-08 13:50:14+00:00,2019-06-08 06:50:14-07:00,1560001814,0.0,0.0
2019-06-08 09:55:14+00:00,2019-06-08 02:55:14-07:00,1559987714,0.0,0.0
2019-06-08 05:50:15+00:00,2019-06-07 22:50:15-07:00,1559973015,0.0,0.0
2019-06-08 01:50:15+00:00,2019-06-07 18:50:15-07:00,1559958615,0.0,0.0
2019-06-07 21:50:15+00:00,2019-06-07 14:50:15-07:00,1559944215,0.0,0.0
2019-06-07 17:50:15+00:00,2019-06-07 10:50:15-07:00,1559929815,0.0,0.0
2019-06-07 13:50:15+00:00,2019-06-07 06:50:15-07:00,1559915415,0.0,0.0
2019-06-07 09:55:15+00:00,2019-06-07 02:55:15-07:00,1559901315,0.0,0.0
2019-06-07 05:50:20+00:00,2019-06-06 22:50:20-07:00,1559886620,0.0,0.0
2019-06-07 01:50:20+00:00,2019-06-06 18:50:20-07:00,1559872220,0.0,0.0
2019-06-06 21:50:20+00:00,2019-06-06 14:50:20-07:00,1559857820,0.0,0.0
2019-06-06 17:50:20+00:00,2019-06-06 10:50:20-07:00,1559843420,0.0,0.0
2019-06-06 13:50:20+00:00,2019-06-06 06:50:20-07:00,1559829020,0.0,0.0
2019-06-06 09:55:20+00:00,2019-06-06 02:55:20-07:00,1559814920,0.0,0.0
2019-06-06 05:50:15+00:00,2019-06-05 22:50:15-07:00,1559800215,0.0,0.0
2019-06-06 01:50:15+00:00,2019-06-05 18:50:15-07:00,1559785815,0.0,0.0
2019-06-05 21:50:15+00:00,2019-06-05 14:50:15-07:00,1559771415,0.0,0.0
2019-06-04 20:30:19+00:00,2019-06-04 13:30:19-07:00,1559680219,0.0,0.0
2019-06-04 17:45:14+00:00,2019-06-04 10:45:14-07:00,1559670314,0.0,0.0
2019-06-04 14:05:14+00:00,2019-06-04 07:05:14-07:00,1559657114,0.0,0.0
2019-06-04 09:55:14+00:00,2019-06-04 02:55:14-07:00,1559642114,0.0,0.0
2019-06-04 05:50:19+00:00,2019-06-03 22:50:19-07:00,1559627419,0.0,0.0
2019-06-04 01:50:19+00:00,2019-06-03 18:50:19-07:00,1559613019,0.0,0.0
2019-06-03 21:50:19+00:00,2019-06-03 14:50:19-07:00,1559598619,0.0,0.0
2019-06-03 17:50:19+00:00,2019-06-03 10:50:19-07:00,1559584219,0.0,0.0
2019-06-03 13:50:19+00:00,2019-06-03 06:50:19-07:00,1559569819,0.0,0.0
2019-06-03 09:55:19+00:00,2019-06-03 02:55:19-07:00,1559555719,0.0,0.0
2019-06-03 05:50:19+00:00,2019-06-02 22:50:19-07:00,1559541019,0.0,0.0
2019-06-03 01:50:19+00:00,2019-06-02 18:50:19-07:00,1559526619,0.0,0.0
2019-06-02 21:50:19+00:00,2019-06-02 14:50:19-07:00,1559512219,0.0,0.0
2019-06-02 17:50:19+00:00,2019-06-02 10:50:19-07:00,1559497819,0.0,0.0
2019-06-02 13:50:19+00:00,2019-06-02 06:50:19-07:00,1559483419,0.0,0.0
2019-06-02 09:55:19+00:00,2019-06-02 02:55:19-07:00,1559469319,0.0,0.0
2019-06-02 05:55:13+00:00,2019-06-01 22:55:13-07:00,1559454913,0.0,0.0
2019-06-02 01:55:13+00:00,2019-06-01 18:55:13-07:00,1559440513,0.0,0.0
2019-06-01 21:55:13+00:00,2019-06-01 14:55:13-07:00,1559426113,0.0,0.0
2019-06-01 17:55:13+00:00,2019-06-01 10:55:13-07:00,1559411713,0.0,0.0
2019-06-01 13:55:13+00:00,2019-06-01 06:55:13-07:00,1559397313,0.0,0.0
