deviceTime_utc,deviceTime_local,deviceTime_unix,cpm,cpmError
2019-05-23 19:06:30+00:00,2019-05-23 12:06:30-07:00,1558638390,0.0,0.0
2019-04-30 02:30:04+00:00,2019-04-29 19:30:04-07:00,1556591404,0.0,0.0
